Age,Sex,Method_of_payment,Fidelizacion_media,Discount_type,Discount,Count_classes,Times_per_week,Favorite_class,Income,Current_membership,Fidelizacion_alta
24.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
55.0,0,1,0,13,0.0,31.0,1.0,7,170.0,21,0
31.0,0,1,1,13,0.0,1.0,0.0,3,60.0,0,1
31.0,0,0,1,6,10.0,352.0,3.0,6,1799.56,8,1
33.0,0,1,1,13,0.0,281.0,3.0,6,1434.52,3,1
32.0,0,1,0,4,5.0,53.0,3.0,3,490.5,7,0
31.0,0,1,0,3,10.0,17.0,6.0,6,149.5,10,0
34.0,0,0,1,6,10.0,580.0,5.0,3,1951.25,7,1
36.0,1,0,1,6,10.0,469.0,4.0,3,1962.75,7,1
31.0,0,1,0,13,0.0,31.0,1.0,7,100.0,0,0
32.0,1,2,0,13,0.0,9.0,0.0,6,99.0,0,0
31.0,0,1,0,13,0.0,21.0,11.0,3,79.0,21,0
31.0,1,1,0,13,0.0,16.0,8.0,3,79.0,21,0
27.0,1,1,0,13,0.0,23.0,1.0,6,455.0,10,0
29.0,0,1,0,13,0.0,54.0,3.0,6,465.0,10,0
26.0,0,0,1,11,7.06,314.0,4.0,3,1399.2,21,1
27.0,0,2,0,13,0.0,25.0,13.0,6,164.0,23,0
28.0,1,0,1,13,0.0,153.0,1.0,6,1323.33,23,1
29.0,1,0,1,13,0.0,173.0,1.0,6,1618.4,23,1
32.0,0,1,1,13,0.0,230.0,2.0,6,1580.0,23,1
32.0,0,0,1,13,0.0,275.0,2.0,6,1802.74,3,1
31.0,1,1,0,13,0.0,1.0,1.0,5,0.0,26,0
31.0,1,1,0,13,0.0,2.0,0.0,6,34.67,10,0
23.0,1,0,1,13,0.0,173.0,3.0,6,1100.0,3,1
24.0,0,2,0,13,0.0,14.0,1.0,6,95.0,8,0
31.0,0,2,0,13,0.0,1.0,0.0,6,65.0,10,0
33.0,1,2,0,13,0.0,2.0,0.0,6,65.0,10,0
33.0,1,0,1,13,0.0,258.0,3.0,6,1503.22,8,1
28.0,0,0,1,13,0.0,45.0,0.0,6,920.0,10,1
29.0,0,1,0,13,0.0,6.0,0.0,5,55.0,15,0
52.0,0,0,1,13,0.0,51.0,1.0,6,942.0,10,1
31.0,0,1,0,13,0.0,2.0,0.0,6,52.0,10,0
31.0,0,1,0,13,0.0,31.0,1.0,7,30.0,20,0
26.0,1,1,1,13,0.0,31.0,1.0,7,99.0,7,1
30.0,0,0,1,13,0.0,253.0,3.0,6,1572.13,8,1
32.0,0,0,1,13,0.0,131.0,2.0,6,1068.4,23,1
29.0,1,1,0,13,0.0,2.0,0.0,6,35.0,10,0
25.0,1,1,0,13,0.0,12.0,2.0,6,70.0,10,0
31.0,0,1,0,13,0.0,31.0,1.0,7,51.93,23,0
25.0,1,1,0,5,10.0,3.0,0.0,6,35.0,10,0
28.0,1,1,0,13,0.0,142.0,16.0,6,775.93,8,0
23.0,1,1,0,13,0.0,32.0,8.0,6,465.0,19,0
34.0,1,1,0,13,0.0,31.0,1.0,7,35.0,10,0
33.0,0,1,0,9,3.53,1.0,0.0,6,82.0,23,0
31.0,1,1,0,13,0.0,3.0,2.0,1,35.0,10,0
42.0,0,1,1,13,0.0,1.0,0.0,4,110.0,0,1
31.0,0,0,0,13,0.0,10.0,0.0,6,235.17,3,0
31.0,0,1,0,13,0.0,31.0,1.0,7,55.0,15,0
42.0,0,0,1,13,0.0,218.0,3.0,6,1094.17,15,1
31.0,0,1,1,13,0.0,55.0,1.0,6,800.0,10,1
22.0,0,2,0,13,0.0,26.0,1.0,6,322.5,15,0
28.0,1,0,1,13,0.0,234.0,2.0,6,1596.0,8,1
43.0,0,0,1,13,0.0,229.0,2.0,6,1641.8,23,1
23.0,0,0,1,13,0.0,299.0,2.0,6,1863.0,8,1
31.0,1,1,0,9,3.53,31.0,1.0,7,147.0,10,0
33.0,1,1,1,6,10.0,6.0,0.0,6,99.0,0,1
31.0,0,0,1,13,0.0,190.0,2.0,6,1874.07,26,1
31.0,0,1,0,13,0.0,31.0,1.0,7,65.0,10,0
31.0,0,1,0,13,0.0,13.0,1.0,6,260.0,10,0
28.0,0,0,1,13,0.0,197.0,2.0,6,1864.8,9,1
31.0,0,1,1,13,0.0,20.0,1.0,1,115.0,3,0
36.0,0,1,0,13,0.0,31.0,2.0,6,296.5,8,0
32.0,0,0,0,10,87.61,122.0,5.0,6,827.38,10,0
29.0,0,1,0,13,0.0,43.0,2.0,6,416.0,23,0
35.0,0,0,1,13,0.0,93.0,1.0,6,1263.0,23,1
31.0,1,2,0,13,0.0,31.0,1.0,7,0.0,26,0
31.0,0,1,0,13,0.0,14.0,0.0,6,110.0,15,0
31.0,0,1,0,13,0.0,3.0,2.0,2,195.0,10,0
31.0,0,1,0,13,0.0,10.0,1.0,3,340.0,15,0
27.0,1,0,1,13,0.0,131.0,1.0,6,1606.0,23,1
32.0,0,0,1,13,0.0,366.0,3.0,3,1813.0,7,1
33.0,1,1,0,13,0.0,16.0,1.0,6,279.0,3,0
31.0,1,0,1,13,0.0,48.0,1.0,6,281.45,15,1
29.0,1,0,1,6,10.0,132.0,1.0,6,1279.0,10,1
32.0,0,0,1,6,10.0,197.0,2.0,6,1424.1,23,1
28.0,1,0,1,13,0.0,96.0,1.0,6,1089.68,0,1
31.0,1,1,0,13,0.0,1.0,0.0,6,55.0,15,0
51.0,1,2,1,13,0.0,14.0,0.0,6,329.68,23,1
20.0,1,2,0,13,0.0,3.0,0.0,6,104.66,26,0
32.0,0,2,0,13,0.0,6.0,0.0,3,79.0,21,0
28.0,1,0,1,6,10.0,126.0,1.0,6,1398.49,6,1
30.0,1,0,1,13,0.0,180.0,2.0,6,1591.03,23,1
30.0,0,0,1,13,0.0,136.0,1.0,6,1285.11,23,1
26.0,0,2,0,13,0.0,7.0,0.0,2,100.48,19,0
31.0,1,1,1,13,0.0,6.0,0.0,6,55.0,15,1
32.0,1,1,1,13,0.0,55.0,1.0,6,1643.02,23,1
28.0,1,0,1,13,0.0,164.0,1.0,6,1576.7,10,1
48.0,0,1,0,13,0.0,31.0,1.0,7,0.0,26,0
30.0,1,2,1,13,0.0,16.0,0.0,6,111.13,10,0
29.0,1,0,1,13,0.0,142.0,2.0,6,1602.0,23,1
30.0,1,2,0,13,0.0,21.0,2.0,6,169.84,10,0
32.0,0,0,1,13,0.0,143.0,1.0,6,1439.84,23,1
42.0,0,0,1,13,0.0,46.0,1.0,3,1579.35,21,1
44.0,1,1,0,13,0.0,5.0,0.0,3,230.0,3,0
30.0,1,0,1,13,0.0,147.0,1.0,6,1347.74,10,1
34.0,1,1,0,13,0.0,21.0,2.0,6,288.0,23,0
28.0,0,1,1,13,0.0,7.0,0.0,6,81.61,15,0
34.0,0,2,0,13,0.0,30.0,2.0,6,170.65,3,0
43.0,1,1,0,13,0.0,19.0,1.0,5,80.0,23,0
27.0,0,0,1,13,0.0,333.0,3.0,6,1829.38,17,1
30.0,1,1,0,13,0.0,2.0,2.0,4,79.84,15,0
32.0,1,1,1,13,0.0,312.0,3.0,6,1065.48,12,1
40.0,1,0,1,13,0.0,189.0,2.0,3,1644.61,21,1
27.0,1,1,1,13,0.0,4.0,0.0,6,110.0,0,1
32.0,1,0,1,13,0.0,391.0,6.0,6,1165.97,12,1
31.0,0,1,0,13,0.0,31.0,1.0,7,40.0,20,0
31.0,1,2,0,13,0.0,32.0,2.0,6,280.97,8,0
39.0,0,0,0,13,0.0,76.0,7.0,6,605.0,15,0
31.0,0,1,0,13,0.0,18.0,1.0,6,55.0,15,0
34.0,0,1,0,13,0.0,6.0,0.0,6,222.5,26,0
50.0,1,1,0,13,0.0,103.0,3.0,6,492.0,23,0
31.0,1,1,0,13,0.0,6.0,0.0,6,50.0,3,0
31.0,0,0,1,8,0.0,172.0,1.0,6,1415.0,12,1
31.0,0,1,0,13,0.0,25.0,1.0,6,330.0,10,0
27.0,0,0,0,13,0.0,18.0,1.0,6,490.0,15,0
31.0,0,0,1,13,0.0,34.0,1.0,6,55.0,15,0
31.0,1,0,1,13,0.0,200.0,2.0,6,1524.0,23,1
31.0,0,1,1,13,0.0,31.0,1.0,7,55.0,15,1
28.0,1,0,1,13,0.0,50.0,0.0,6,1175.0,10,1
26.0,1,0,1,13,0.0,60.0,1.0,6,1175.0,10,1
33.0,1,1,0,13,0.0,4.0,1.0,3,115.0,3,0
36.0,0,1,1,6,10.0,204.0,3.0,6,1357.5,6,1
20.0,0,0,0,13,0.0,16.0,0.0,3,265.0,10,0
25.0,0,0,1,13,0.0,133.0,2.0,6,955.18,15,1
31.0,0,2,1,13,0.0,3.0,0.0,2,35.0,19,0
31.0,0,0,1,6,10.0,278.0,3.0,6,1700.5,8,1
30.0,0,1,0,13,0.0,30.0,1.0,6,444.67,10,0
31.0,1,1,1,13,0.0,31.0,1.0,7,55.0,15,0
24.0,0,1,0,13,0.0,55.0,2.0,6,316.67,8,0
31.0,0,1,0,13,0.0,31.0,1.0,7,28.5,8,0
23.0,1,2,1,13,0.0,31.0,1.0,7,0.0,26,0
25.0,0,1,0,13,0.0,16.0,3.0,6,110.0,0,0
40.0,1,1,1,7,15.0,4.0,0.0,2,207.25,0,0
30.0,1,2,1,13,0.0,4.0,0.0,6,45.0,0,1
30.0,0,1,1,13,0.0,10.0,0.0,6,110.0,0,1
29.0,1,0,0,13,0.0,23.0,5.0,6,260.0,15,0
34.0,1,0,1,6,10.0,99.0,1.0,6,452.25,25,1
31.0,1,2,1,13,0.0,15.0,0.0,6,245.5,10,1
32.0,1,2,1,13,0.0,3.0,0.0,6,65.0,10,1
29.0,0,0,0,13,0.0,18.0,0.0,6,130.0,10,0
26.0,0,0,0,13,0.0,19.0,1.0,6,244.84,10,0
30.0,0,0,0,13,0.0,13.0,4.0,6,313.39,15,0
37.0,1,0,1,13,0.0,79.0,1.0,6,698.87,23,1
31.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
28.0,0,0,1,13,0.0,164.0,2.0,6,1300.0,8,1
33.0,0,2,1,13,0.0,86.0,2.0,6,730.0,10,0
27.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
28.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
35.0,0,0,1,13,0.0,193.0,3.0,6,1120.0,12,1
26.0,0,1,0,13,0.0,53.0,27.0,3,255.0,21,0
36.0,1,0,1,8,0.0,267.0,4.0,3,1165.0,21,1
30.0,0,1,1,13,0.0,35.0,1.0,6,585.0,11,0
41.0,0,0,1,13,0.0,238.0,3.0,3,1402.0,7,1
40.0,0,0,0,13,0.0,1.0,1.0,4,115.0,23,0
31.0,0,2,0,13,0.0,1.0,0.0,4,0.0,26,0
29.0,1,0,1,6,10.0,207.0,3.0,6,1338.23,8,1
30.0,0,0,1,6,10.0,194.0,3.0,6,1338.23,8,1
44.0,0,1,0,6,10.0,3.0,3.0,6,58.5,10,0
36.0,1,0,1,13,0.0,3.0,0.0,6,95.0,15,0
28.0,1,0,0,13,0.0,7.0,0.0,6,520.0,13,0
42.0,0,2,0,13,0.0,152.0,17.0,6,1250.0,23,0
33.0,0,0,1,13,0.0,208.0,3.0,6,1445.0,8,1
30.0,1,0,0,13,0.0,5.0,1.0,6,475.0,10,0
32.0,0,1,0,13,0.0,31.0,1.0,7,39.84,10,0
36.0,1,0,1,13,0.0,88.0,1.0,6,1025.0,15,1
32.0,1,0,1,13,0.0,145.0,3.0,3,1049.0,21,1
35.0,1,0,1,13,0.0,109.0,2.0,6,1095.0,15,1
21.0,1,0,0,13,0.0,31.0,1.0,7,0.0,26,0
28.0,0,0,0,13,0.0,152.0,7.0,6,1368.35,3,0
38.0,1,0,1,13,0.0,70.0,1.0,6,1310.37,23,1
33.0,0,0,1,13,0.0,110.0,2.0,6,1310.37,23,1
44.0,0,1,1,13,0.0,63.0,1.0,6,411.87,15,1
28.0,1,0,1,13,0.0,183.0,3.0,6,907.26,15,1
26.0,0,0,1,13,0.0,112.0,2.0,6,1000.0,23,1
25.0,0,1,1,13,0.0,296.0,4.0,6,1470.39,17,1
32.0,1,0,0,13,0.0,33.0,1.0,5,669.97,15,0
29.0,1,0,1,13,0.0,53.0,1.0,6,380.0,8,1
28.0,1,1,0,13,0.0,5.0,1.0,6,50.0,0,0
31.0,0,1,0,13,0.0,23.0,3.0,6,375.0,23,0
24.0,1,1,0,13,0.0,40.0,40.0,1,345.0,10,0
26.0,1,0,1,13,0.0,128.0,2.0,6,1130.0,23,1
24.0,0,0,0,13,0.0,10.0,0.0,6,420.0,10,0
28.0,1,1,0,13,0.0,4.0,4.0,6,40.0,0,0
33.0,1,0,1,13,0.0,280.0,5.0,6,1585.0,3,1
28.0,1,1,0,13,0.0,31.0,1.0,7,99.0,7,0
30.0,0,1,0,13,0.0,10.0,0.0,3,110.0,0,0
31.0,1,0,1,13,0.0,165.0,3.0,6,1255.0,8,1
55.0,0,1,0,13,0.0,31.0,1.0,7,115.0,3,0
31.0,0,0,0,13,0.0,11.0,0.0,3,170.0,21,0
27.0,1,0,1,13,0.0,261.0,4.0,6,1530.0,12,1
28.0,0,2,0,13,0.0,1.0,1.0,4,65.0,15,0
27.0,1,0,0,13,0.0,4.0,1.0,6,118.57,23,0
33.0,1,2,0,13,0.0,6.0,0.0,6,175.0,10,0
33.0,1,0,1,13,0.0,208.0,3.0,6,1397.66,8,1
34.0,1,0,1,13,0.0,172.0,2.0,6,822.5,15,1
30.0,0,0,1,13,0.0,259.0,4.0,6,1630.0,3,1
31.0,1,0,0,13,0.0,1.0,0.0,3,135.0,10,0
29.0,1,0,1,13,0.0,50.0,1.0,6,560.0,10,0
36.0,0,2,1,13,0.0,221.0,2.0,6,1814.74,0,1
23.0,1,2,0,13,0.0,31.0,1.0,7,35.0,19,0
21.0,1,1,1,13,0.0,3.0,0.0,6,122.98,26,1
33.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
27.0,0,1,0,13,0.0,9.0,1.0,6,70.0,10,0
30.0,1,0,1,13,0.0,138.0,2.0,6,725.0,15,1
31.0,0,0,0,13,0.0,6.0,0.0,6,260.0,15,0
29.0,0,1,0,12,5.0,7.0,4.0,6,133.0,10,0
28.0,0,0,0,13,0.0,91.0,4.0,6,830.0,10,0
28.0,1,1,0,13,0.0,19.0,1.0,6,355.16,15,0
32.0,1,0,1,6,10.0,276.0,4.0,6,1176.05,3,1
26.0,1,0,0,6,10.0,15.0,1.0,6,138.8,10,0
29.0,0,1,0,13,0.0,9.0,1.0,6,33.55,15,0
38.0,0,1,1,13,0.0,13.0,0.0,6,99.0,0,1
33.0,0,1,0,1,10.0,17.0,1.0,6,351.0,18,0
41.0,0,0,1,13,0.0,104.0,2.0,6,650.0,15,1
30.0,0,0,1,13,0.0,107.0,2.0,6,1005.0,23,1
33.0,0,1,1,13,0.0,39.0,1.0,6,280.0,12,0
34.0,0,1,1,13,0.0,98.0,1.0,1,1130.0,8,1
32.0,0,0,1,1,10.0,66.0,1.0,6,180.0,15,1
32.0,1,0,1,0,10.0,75.0,1.0,6,0.0,26,1
38.0,0,0,0,13,0.0,13.0,0.0,6,364.68,23,0
27.0,0,1,0,13,0.0,5.0,0.0,6,169.0,23,0
42.0,0,1,1,13,0.0,68.0,1.0,6,599.48,8,0
34.0,0,0,0,13,0.0,78.0,3.0,6,408.87,15,0
33.0,0,2,1,13,0.0,134.0,2.0,6,1165.58,9,1
41.0,0,0,1,13,0.0,58.0,1.0,6,535.16,23,0
28.0,1,0,1,13,0.0,89.0,1.0,6,540.0,8,1
43.0,1,0,1,13,0.0,153.0,2.0,6,1096.77,12,1
39.0,0,0,1,13,0.0,87.0,1.0,6,1015.0,12,1
27.0,0,0,0,13,0.0,60.0,9.0,6,410.0,0,0
45.0,0,0,1,13,0.0,79.0,1.0,6,1105.0,23,1
26.0,1,0,0,13,0.0,3.0,0.0,4,160.0,20,0
44.0,1,1,1,13,0.0,20.0,1.0,6,65.0,15,0
31.0,1,1,0,13,0.0,7.0,0.0,6,182.42,10,0
32.0,0,0,1,13,0.0,53.0,1.0,6,470.0,23,0
34.0,0,0,1,13,0.0,256.0,4.0,6,1115.33,12,1
37.0,0,0,1,13,0.0,160.0,2.0,6,1215.0,8,1
33.0,0,0,1,13,0.0,105.0,2.0,6,675.0,23,1
33.0,0,0,1,13,0.0,130.0,2.0,6,860.0,23,1
53.0,0,0,1,13,0.0,132.0,2.0,6,765.0,23,1
24.0,1,0,1,13,0.0,259.0,4.0,6,1235.7,17,1
29.0,1,0,0,13,0.0,1.0,1.0,6,140.0,10,0
31.0,0,0,0,13,0.0,1.0,1.0,6,140.0,10,0
44.0,0,0,1,13,0.0,38.0,1.0,6,650.0,15,0
50.0,1,1,0,13,0.0,11.0,4.0,6,225.81,16,0
31.0,0,0,1,13,0.0,118.0,2.0,6,910.0,10,1
28.0,1,0,1,13,0.0,118.0,3.0,6,750.0,8,0
33.0,0,0,0,13,0.0,16.0,0.0,6,65.0,15,0
34.0,1,0,0,13,0.0,9.0,1.0,3,340.0,21,0
28.0,1,0,1,13,0.0,116.0,2.0,6,956.44,17,1
33.0,0,0,1,13,0.0,83.0,2.0,6,850.0,23,0
29.0,1,1,1,13,0.0,142.0,2.0,6,1376.45,3,1
29.0,0,0,1,13,0.0,87.0,1.0,3,1110.0,23,1
42.0,0,1,1,13,0.0,151.0,2.0,6,1281.7,18,1
28.0,1,0,0,6,10.0,16.0,0.0,6,346.0,23,0
55.0,0,1,0,13,0.0,18.0,6.0,6,165.0,16,0
32.0,0,0,0,13,0.0,8.0,0.0,4,480.0,10,0
31.0,0,1,0,13,0.0,7.0,4.0,6,70.0,10,0
31.0,0,1,1,13,0.0,7.0,0.0,6,50.0,0,1
35.0,0,0,1,13,0.0,201.0,3.0,6,1080.0,12,1
25.0,1,0,0,13,0.0,2.0,2.0,6,209.67,10,0
33.0,0,0,1,13,0.0,89.0,2.0,6,638.17,23,0
28.0,1,0,1,13,0.0,38.0,1.0,6,285.0,8,0
33.0,0,2,0,13,0.0,5.0,5.0,6,44.33,10,0
23.0,1,1,1,13,0.0,22.0,1.0,6,105.0,19,0
28.0,0,0,1,13,0.0,224.0,3.0,6,1235.7,17,1
16.0,1,1,0,13,0.0,12.0,1.0,6,35.0,23,0
30.0,0,0,1,13,0.0,255.0,4.0,6,1358.17,3,1
43.0,1,1,0,13,0.0,3.0,0.0,3,230.0,3,0
46.0,0,0,1,13,0.0,67.0,1.0,6,770.33,23,1
37.0,0,0,0,13,0.0,13.0,1.0,6,245.33,15,0
41.0,0,1,1,13,0.0,188.0,3.0,6,892.75,12,1
27.0,1,0,1,13,0.0,180.0,3.0,6,1170.7,17,1
34.0,0,0,1,13,0.0,103.0,1.0,6,1105.66,23,1
32.0,0,1,1,13,0.0,182.0,3.0,6,1038.83,12,1
31.0,0,1,1,13,0.0,196.0,3.0,6,1185.87,17,1
33.0,0,0,0,13,0.0,9.0,1.0,6,145.17,15,0
31.0,0,1,0,13,0.0,31.0,1.0,7,664.0,10,0
36.0,0,0,1,13,0.0,81.0,1.0,6,472.84,12,1
35.0,1,0,1,13,0.0,160.0,2.0,6,1007.5,8,1
36.0,0,0,1,13,0.0,47.0,1.0,5,680.0,23,0
