Age,Sex,Method_of_payment,Fidelizacion_media,Discount_type,Discount,Count_classes,Times_per_week,Favorite_class,Income,Current_membership,Fidelizacion_alta
47.0,1,0,1,13,0.0,94.0,1.0,6,810.0,10,1
31.0,1,0,1,13,0.0,6.0,0.0,6,170.0,23,0
31.0,0,0,1,13,0.0,116.0,2.0,6,795.0,15,1
22.0,1,0,1,13,0.0,133.0,2.0,6,800.0,12,1
23.0,0,0,0,13,0.0,3.0,0.0,6,130.0,15,0
42.0,0,2,0,13,0.0,13.0,0.0,6,65.0,15,0
24.0,0,0,1,13,0.0,227.0,3.0,6,850.0,12,1
25.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
48.0,1,0,0,13,0.0,15.0,1.0,6,85.0,23,0
27.0,0,0,1,13,0.0,120.0,2.0,6,930.0,3,1
27.0,1,0,1,13,0.0,135.0,3.0,6,1280.0,3,1
37.0,0,0,1,13,0.0,92.0,1.0,6,890.0,23,1
23.0,0,2,1,13,0.0,37.0,1.0,6,109.56,15,0
38.0,0,1,1,13,0.0,66.0,1.0,6,610.0,15,1
31.0,0,0,1,13,0.0,157.0,2.0,6,1265.0,3,1
25.0,0,0,0,13,0.0,9.0,3.0,6,230.32,23,0
27.0,1,0,0,13,0.0,30.0,1.0,6,108.39,10,0
27.0,0,0,1,13,0.0,10.0,0.0,3,132.58,10,0
31.0,0,0,1,5,10.0,485.0,4.0,3,2126.14,7,1
33.0,1,0,1,13,0.0,122.0,2.0,6,893.87,23,1
30.0,1,0,0,13,0.0,16.0,3.0,6,174.35,3,0
29.0,1,1,1,13,0.0,36.0,1.0,6,356.13,15,0
27.0,0,1,1,13,0.0,152.0,2.0,6,1143.8,17,1
31.0,0,1,1,13,0.0,11.0,0.0,6,220.0,0,1
27.0,0,0,0,13,0.0,69.0,2.0,6,935.0,26,0
28.0,1,1,1,13,0.0,68.0,1.0,6,616.17,23,1
40.0,0,0,1,13,0.0,20.0,0.0,6,435.0,23,1
30.0,1,0,1,13,0.0,130.0,2.0,6,590.0,8,1
29.0,0,0,1,13,0.0,29.0,1.0,6,370.0,23,0
31.0,0,1,0,13,0.0,31.0,1.0,7,30.0,20,0
31.0,0,1,0,13,0.0,16.0,1.0,3,255.0,21,0
26.0,0,0,1,13,0.0,85.0,1.0,6,765.0,23,1
30.0,1,1,0,13,0.0,9.0,9.0,6,70.0,10,0
32.0,1,1,0,13,0.0,5.0,5.0,6,70.0,10,0
35.0,1,1,0,13,0.0,7.0,1.0,6,70.0,10,0
36.0,0,1,0,13,0.0,9.0,9.0,6,70.0,10,0
40.0,0,1,0,13,0.0,6.0,0.0,6,85.0,23,0
27.0,1,0,0,13,0.0,57.0,2.0,6,410.0,10,0
26.0,1,0,1,13,0.0,10.0,0.0,6,280.0,10,0
31.0,0,0,0,13,0.0,8.0,0.0,6,160.0,15,0
27.0,0,1,1,5,10.0,33.0,0.0,6,395.5,10,1
40.0,0,0,1,13,0.0,109.0,2.0,6,805.0,12,1
31.0,0,0,1,13,0.0,35.0,1.0,6,816.0,23,1
33.0,0,1,1,13,0.0,10.0,0.0,6,110.0,0,1
28.0,1,0,1,13,0.0,421.0,6.0,6,1285.0,3,1
36.0,0,0,0,13,0.0,6.0,6.0,6,46.0,3,0
31.0,0,0,0,13,0.0,4.0,4.0,6,46.0,3,0
31.0,0,0,1,13,0.0,69.0,1.0,3,694.17,21,1
43.0,0,1,0,13,0.0,11.0,1.0,6,115.0,3,0
34.0,1,1,0,13,0.0,9.0,1.0,6,115.0,3,0
29.0,0,0,0,13,0.0,6.0,0.0,6,370.0,13,0
32.0,0,1,0,13,0.0,11.0,1.0,6,251.0,23,0
28.0,0,1,0,13,0.0,31.0,1.0,7,20.0,20,0
37.0,1,0,1,13,0.0,180.0,3.0,6,447.67,12,1
31.0,0,0,1,13,0.0,179.0,3.0,6,1105.83,3,1
30.0,1,1,0,13,0.0,40.0,2.0,6,256.5,9,0
39.0,0,0,1,13,0.0,114.0,2.0,6,910.0,8,1
29.0,1,0,1,13,0.0,162.0,2.0,6,1040.0,8,1
31.0,0,1,0,13,0.0,5.0,0.0,6,50.0,0,0
31.0,1,1,0,13,0.0,5.0,0.0,6,50.0,0,0
47.0,0,0,1,13,0.0,70.0,1.0,6,620.0,23,1
29.0,0,0,1,13,0.0,116.0,2.0,6,920.0,23,1
40.0,0,0,1,13,0.0,73.0,1.0,6,645.0,23,1
28.0,1,1,0,13,0.0,31.0,1.0,7,40.0,20,0
28.0,0,0,1,13,0.0,103.0,2.0,3,825.32,23,1
29.0,0,0,0,13,0.0,7.0,2.0,6,230.32,23,0
29.0,1,0,0,13,0.0,60.0,2.0,6,540.65,12,0
29.0,0,1,0,13,0.0,22.0,1.0,6,200.0,3,0
42.0,0,1,0,13,0.0,2.0,0.0,6,0.0,26,0
32.0,1,1,1,13,0.0,152.0,2.0,6,945.0,8,1
37.0,0,0,1,13,0.0,183.0,3.0,6,985.0,3,1
34.0,0,0,0,13,0.0,12.0,0.0,6,255.0,23,0
26.0,1,1,0,13,0.0,4.0,4.0,6,140.0,10,0
28.0,0,1,0,13,0.0,31.0,1.0,7,50.0,0,0
31.0,0,1,0,13,0.0,1.0,1.0,6,0.0,26,0
28.0,0,1,0,13,0.0,98.0,3.0,6,1207.1,3,0
33.0,0,1,0,13,0.0,46.0,2.0,6,690.4,10,0
27.0,0,0,0,13,0.0,51.0,2.0,6,510.0,23,0
25.0,1,0,1,13,0.0,11.0,0.0,6,340.0,23,0
51.0,1,1,0,13,0.0,8.0,1.0,6,65.0,15,0
32.0,1,0,1,13,0.0,23.0,0.0,6,465.0,10,1
29.0,0,1,1,13,0.0,112.0,2.0,6,990.0,8,1
33.0,1,0,1,13,0.0,98.0,1.0,6,680.0,23,1
26.0,0,0,1,13,0.0,74.0,1.0,6,650.0,23,1
29.0,0,1,0,13,0.0,4.0,0.0,6,155.81,3,0
23.0,0,0,0,13,0.0,16.0,0.0,6,235.0,12,0
28.0,0,0,1,13,0.0,25.0,0.0,6,510.0,23,1
28.0,1,1,0,13,0.0,8.0,0.0,6,85.0,12,0
29.0,1,1,1,13,0.0,35.0,1.0,2,530.0,0,1
26.0,0,1,0,13,0.0,7.0,1.0,6,140.0,10,0
23.0,0,0,1,13,0.0,37.0,1.0,3,732.83,7,1
31.0,0,0,1,13,0.0,30.0,1.0,6,231.0,12,0
29.0,1,0,1,13,0.0,88.0,1.0,2,212.5,23,1
27.0,1,0,1,13,0.0,74.0,1.0,6,685.0,8,1
29.0,1,1,1,13,0.0,86.0,1.0,6,705.0,8,1
34.0,0,1,0,13,0.0,2.0,0.0,6,95.0,20,0
30.0,1,1,1,13,0.0,6.0,0.0,6,255.0,23,0
24.0,0,0,1,13,0.0,48.0,1.0,6,296.83,12,0
31.0,1,1,1,13,0.0,7.0,0.0,6,70.0,19,1
34.0,0,0,1,13,0.0,64.0,1.0,6,533.33,23,1
28.0,0,0,0,13,0.0,108.0,6.0,6,465.0,3,0
25.0,1,0,1,13,0.0,10.0,0.0,6,161.0,10,0
28.0,0,0,1,13,0.0,10.0,0.0,6,301.0,10,0
35.0,1,0,0,13,0.0,22.0,1.0,6,349.5,15,0
37.0,0,0,0,13,0.0,21.0,1.0,6,149.5,15,0
33.0,0,1,1,13,0.0,12.0,0.0,3,170.0,12,0
31.0,0,1,0,13,0.0,5.0,0.0,1,55.0,16,0
30.0,0,0,1,13,0.0,79.0,1.0,6,550.0,8,1
31.0,0,1,1,13,0.0,7.0,0.0,6,110.0,0,1
26.0,1,0,1,13,0.0,75.0,1.0,6,425.0,23,1
30.0,1,1,1,13,0.0,88.0,1.0,6,555.0,3,1
34.0,0,1,0,13,0.0,7.0,1.0,6,85.0,12,0
29.0,1,1,1,13,0.0,111.0,1.0,6,465.0,3,1
33.0,0,0,1,13,0.0,5.0,0.0,6,40.0,0,0
26.0,0,1,1,13,0.0,43.0,1.0,6,230.0,3,1
23.0,1,0,1,13,0.0,44.0,1.0,6,140.0,19,1
25.0,1,0,0,13,0.0,2.0,0.0,6,35.0,19,0
31.0,0,1,0,13,0.0,3.0,0.0,3,55.0,16,0
36.0,1,1,0,13,0.0,31.0,1.0,7,130.0,12,0
38.0,0,1,0,13,0.0,1.0,0.0,3,71.29,21,0
31.0,0,1,1,13,0.0,16.0,0.0,6,250.0,0,1
31.0,1,1,1,13,0.0,9.0,0.0,6,50.0,0,1
31.0,0,1,1,13,0.0,15.0,0.0,6,284.94,0,1
30.0,0,0,1,13,0.0,16.0,0.0,6,255.0,23,0
31.0,0,1,0,13,0.0,9.0,9.0,2,85.0,12,0
25.0,1,1,0,13,0.0,4.0,4.0,6,65.0,15,0
22.0,1,0,1,13,0.0,87.0,2.0,6,496.45,15,1
27.0,1,1,0,13,0.0,17.0,1.0,6,55.65,3,0
31.0,0,0,1,13,0.0,290.0,2.0,6,1900.35,23,1
30.0,0,0,1,13,0.0,41.0,1.0,6,296.13,23,1
32.0,0,0,1,13,0.0,133.0,2.0,6,1115.13,3,1
28.0,1,0,1,13,0.0,7.0,0.0,6,94.35,15,0
26.0,0,1,0,13,0.0,6.0,2.0,6,29.35,15,0
20.0,1,0,1,13,0.0,75.0,1.0,3,548.39,21,1
23.0,0,0,1,13,0.0,57.0,1.0,6,117.9,12,1
33.0,1,1,0,13,0.0,3.0,0.0,2,110.0,0,0
34.0,0,1,0,13,0.0,25.0,2.0,6,194.68,23,0
42.0,1,0,1,13,0.0,101.0,1.0,6,427.42,3,1
23.0,1,0,1,13,0.0,106.0,2.0,6,735.0,3,1
31.0,1,1,0,13,0.0,3.0,0.0,6,40.0,0,0
45.0,1,0,1,13,0.0,79.0,1.0,6,691.94,8,1
31.0,0,0,0,13,0.0,28.0,1.0,6,391.94,8,0
32.0,0,0,0,13,0.0,27.0,2.0,6,345.0,12,0
31.0,0,0,1,13,0.0,18.0,0.0,6,153.0,23,1
34.0,1,0,1,13,0.0,39.0,1.0,6,230.0,0,1
37.0,0,1,1,13,0.0,93.0,2.0,6,660.0,8,1
36.0,1,1,1,13,0.0,62.0,1.0,6,135.0,15,1
27.0,0,0,1,13,0.0,72.0,1.0,6,510.0,23,1
28.0,0,0,1,13,0.0,27.0,0.0,6,260.0,15,1
28.0,0,1,0,13,0.0,6.0,0.0,3,0.0,26,0
31.0,1,1,0,13,0.0,2.0,0.0,6,55.0,15,0
27.0,1,1,0,13,0.0,2.0,0.0,3,60.0,0,0
28.0,0,0,1,13,0.0,56.0,1.0,6,300.33,23,1
27.0,0,0,0,13,0.0,15.0,1.0,6,130.33,23,0
36.0,1,0,1,13,0.0,48.0,1.0,1,358.83,15,1
38.0,0,0,1,13,0.0,82.0,1.0,6,358.83,15,1
29.0,1,0,0,13,0.0,6.0,0.0,6,201.17,23,0
31.0,0,1,0,13,0.0,4.0,0.0,5,110.0,0,0
23.0,1,1,0,13,0.0,31.0,1.0,7,35.0,19,0
32.0,0,1,0,13,0.0,1.0,0.0,3,654.0,5,0
41.0,0,1,1,13,0.0,94.0,1.0,6,1191.5,4,1
34.0,1,1,0,13,0.0,29.0,1.0,3,294.0,23,0
32.0,1,0,1,2,5.0,447.0,4.0,3,2459.03,7,1
27.0,1,0,0,13,0.0,3.0,1.0,6,125.0,23,0
32.0,0,0,1,13,0.0,38.0,1.0,6,425.0,23,1
26.0,1,0,1,13,0.0,55.0,1.0,6,425.0,23,1
27.0,0,1,1,13,0.0,110.0,2.0,6,745.0,5,0
36.0,1,1,0,13,0.0,16.0,1.0,6,180.0,23,0
31.0,0,1,0,13,0.0,1.0,0.0,6,110.0,0,0
37.0,0,0,0,13,0.0,47.0,3.0,2,495.0,25,0
21.0,1,1,0,13,0.0,10.0,1.0,6,395.0,8,0
36.0,1,1,0,13,0.0,18.0,1.0,6,255.0,23,0
25.0,0,1,0,13,0.0,10.0,1.0,6,110.0,0,0
31.0,1,1,0,13,0.0,31.0,1.0,7,20.0,1,0
27.0,1,1,0,13,0.0,16.0,1.0,6,398.0,0,0
29.0,1,0,0,13,0.0,40.0,2.0,6,340.0,23,0
29.0,1,1,1,13,0.0,30.0,1.0,2,235.0,12,0
31.0,0,1,0,13,0.0,4.0,0.0,2,48.0,0,0
34.0,1,1,1,13,0.0,6.0,0.0,6,125.0,12,0
31.0,1,1,1,13,0.0,33.0,1.0,6,295.0,23,0
35.0,1,1,0,13,0.0,9.0,0.0,6,216.94,15,0
28.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
33.0,1,1,0,13,0.0,12.0,1.0,6,189.35,0,0
30.0,0,0,0,13,0.0,46.0,2.0,6,304.35,23,0
31.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
36.0,0,0,0,13,0.0,17.0,1.0,6,100.65,15,0
32.0,0,0,0,13,0.0,51.0,3.0,6,173.55,15,0
31.0,1,1,0,13,0.0,55.0,3.0,6,565.0,3,0
36.0,0,1,0,13,0.0,1.0,0.0,6,30.0,0,0
41.0,0,1,0,13,0.0,31.0,1.0,7,27.42,12,0
25.0,0,1,0,13,0.0,75.0,4.0,6,520.0,14,0
32.0,1,0,0,13,0.0,36.0,2.0,6,270.0,8,0
30.0,1,0,0,13,0.0,38.0,3.0,6,255.0,23,0
33.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
47.0,0,0,0,13,0.0,8.0,1.0,6,140.0,15,0
30.0,0,0,1,13,0.0,273.0,2.0,6,1568.33,12,1
33.0,0,0,0,13,0.0,67.0,4.0,6,180.0,12,0
28.0,1,1,0,13,0.0,38.0,2.0,6,480.0,25,0
31.0,0,1,0,13,0.0,69.0,4.0,6,603.0,5,0
27.0,1,1,0,13,0.0,7.0,7.0,6,90.0,12,0
24.0,1,1,0,13,0.0,8.0,8.0,6,90.0,12,0
30.0,0,1,0,13,0.0,10.0,1.0,6,85.0,23,0
39.0,1,0,0,13,0.0,21.0,2.0,6,167.17,23,0
26.0,0,0,0,13,0.0,27.0,2.0,6,127.5,23,0
29.0,1,1,0,13,0.0,53.0,3.0,6,270.0,12,0
33.0,0,0,0,13,0.0,20.0,2.0,6,170.0,26,0
31.0,0,1,0,13,0.0,5.0,0.0,6,67.5,16,0
28.0,1,1,0,13,0.0,26.0,2.0,6,180.0,12,0
31.0,1,1,1,13,0.0,23.0,0.0,6,170.0,23,0
33.0,1,0,0,13,0.0,58.0,3.0,6,270.0,12,0
39.0,1,0,0,13,0.0,37.0,9.0,6,235.0,15,0
26.0,0,1,0,13,0.0,31.0,3.0,6,240.34,23,0
23.0,0,1,0,13,0.0,8.0,1.0,6,52.76,23,0
23.0,1,1,0,13,0.0,27.0,2.0,6,378.1,26,0
35.0,1,1,1,13,0.0,5.0,0.0,6,85.0,23,0
30.0,1,0,0,13,0.0,33.0,2.0,6,300.0,26,0
33.0,0,0,0,13,0.0,15.0,1.0,6,70.0,15,0
31.0,0,1,0,13,0.0,4.0,1.0,3,55.0,16,0
28.0,1,1,0,13,0.0,20.0,1.0,6,273.0,9,0
26.0,0,1,0,13,0.0,18.0,2.0,6,240.0,25,0
34.0,0,1,0,13,0.0,22.0,3.0,6,240.0,25,0
25.0,1,1,0,13,0.0,19.0,2.0,6,240.0,25,0
29.0,1,1,0,13,0.0,7.0,1.0,6,170.0,23,0
29.0,1,1,0,13,0.0,7.0,2.0,6,85.0,23,0
30.0,1,1,0,13,0.0,31.0,1.0,7,166.44,17,0
28.0,1,1,1,13,0.0,22.0,1.0,1,140.0,15,0
35.0,1,0,1,13,0.0,74.0,1.0,6,902.26,10,1
35.0,0,0,0,13,0.0,10.0,1.0,5,170.0,23,0
30.0,0,1,0,13,0.0,19.0,2.0,6,119.0,23,0
25.0,1,1,0,13,0.0,19.0,2.0,6,245.7,17,0
30.0,1,1,0,13,0.0,16.0,1.0,6,255.66,12,0
24.0,1,1,0,13,0.0,12.0,1.0,6,0.0,25,0
41.0,0,0,0,13,0.0,3.0,0.0,4,67.67,15,0
35.0,0,0,0,13,0.0,11.0,3.0,2,100.0,8,0
36.0,0,0,0,13,0.0,9.0,5.0,6,85.0,23,0
28.0,1,1,0,13,0.0,1.0,0.0,2,0.0,26,0
28.0,0,0,0,13,0.0,4.0,4.0,6,40.0,15,0
27.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
32.0,0,1,0,13,0.0,7.0,0.0,6,56.67,23,0
31.0,0,1,0,13,0.0,5.0,0.0,5,56.67,23,0
32.0,0,1,0,13,0.0,3.0,2.0,6,25.5,23,0
24.0,0,1,0,13,0.0,8.0,4.0,6,64.0,3,0
31.0,0,1,0,13,0.0,1.0,1.0,6,140.0,0,0
31.0,1,1,0,13,0.0,31.0,1.0,7,37.33,15,0
31.0,1,1,0,13,0.0,31.0,1.0,7,75.0,0,0
29.0,1,1,0,13,0.0,1.0,1.0,6,85.0,23,0
24.0,1,1,1,13,0.0,230.0,3.0,6,2729.0,3,1
33.0,1,1,0,13,0.0,1.0,1.0,6,90.67,23,0
31.0,0,0,0,13,0.0,7.0,1.0,6,0.0,26,0
35.0,1,1,0,13,0.0,31.0,1.0,7,25.0,2,0
45.0,0,1,1,13,0.0,22.0,0.0,6,459.84,10,0
28.0,1,1,0,13,0.0,31.0,1.0,7,30.0,20,0
31.0,0,0,1,6,10.0,254.0,2.0,6,2023.5,23,1
36.0,0,2,1,13,0.0,349.0,3.0,6,2229.4,25,1
33.0,0,0,1,13,0.0,338.0,3.0,6,2035.0,23,1
31.0,0,1,0,13,0.0,31.0,1.0,7,0.0,26,0
31.0,1,1,0,9,3.53,20.0,1.0,6,225.07,22,0
34.0,1,1,0,13,0.0,10.0,0.0,3,234.7,21,0
38.0,0,1,1,13,0.0,134.0,2.0,6,1027.54,15,1
48.0,1,1,1,13,0.0,31.0,1.0,6,219.0,23,0
29.0,0,0,0,13,0.0,24.0,1.0,6,82.0,23,0
33.0,0,1,1,13,0.0,343.0,3.0,3,1918.45,8,1
31.0,0,1,0,13,0.0,31.0,1.0,7,30.0,20,0
31.0,1,1,1,13,0.0,31.0,1.0,7,30.0,20,1
31.0,0,1,0,13,0.0,31.0,1.0,7,65.0,10,0
31.0,0,1,0,13,0.0,31.0,1.0,7,30.0,20,0
35.0,0,1,1,13,0.0,287.0,2.0,6,1929.03,8,1
31.0,1,0,0,13,0.0,184.0,14.0,6,785.0,3,0
28.0,0,1,0,6,10.0,10.0,1.0,0,31.94,16,0
38.0,0,0,1,6,10.0,169.0,3.0,6,1098.34,15,1
29.0,1,1,1,13,0.0,199.0,2.0,6,1925.64,25,1
31.0,0,1,0,13,0.0,31.0,1.0,7,40.0,20,0
40.0,0,1,0,13,0.0,31.0,1.0,7,88.0,0,0
31.0,0,1,1,13,0.0,24.0,0.0,3,143.4,21,1
25.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
31.0,1,0,1,13,0.0,293.0,3.0,3,1688.1,21,1
36.0,0,1,1,13,0.0,221.0,2.0,6,2588.5,24,1
40.0,0,1,0,13,0.0,3.0,0.0,6,65.0,10,0
28.0,1,2,1,13,0.0,234.0,2.0,6,1711.5,12,1
29.0,0,0,1,13,0.0,246.0,2.0,6,1883.0,8,1
30.0,0,0,1,6,10.0,468.0,4.0,6,2280.11,3,1
24.0,1,0,0,13,0.0,39.0,2.0,6,577.0,23,0
34.0,0,0,1,13,0.0,424.0,4.0,3,2050.25,7,1
32.0,0,2,0,13,0.0,400.0,18.0,3,1640.75,26,0
30.0,0,0,1,13,0.0,167.0,1.0,5,1170.65,23,1
44.0,0,1,0,13,0.0,20.0,1.0,3,170.0,0,0
25.0,0,1,0,13,0.0,4.0,1.0,6,110.0,0,0
31.0,1,1,0,13,0.0,31.0,1.0,7,0.0,26,0
33.0,0,1,0,13,0.0,52.0,1.0,6,789.0,23,0
